"id","zpid","name","address","city","state","zip_code","phone","verified","yelp_rating","google_rating","price_range","cuisine_type","website","hours","confidence_score","last_updated","created_at","yelp_id","google_place_id","foursquare_id","latitude","longitude","special_hours","yelp_review_count","google_review_count","google_maps_url","primary_photo_url","menu_url","vibe_attributes","review_excerpts","is_verified","data_confidence","verification_sources","last_quality_check","rating_trend","is_trending","social_buzz_score","optimal_visit_times","popular_dishes","recent_mentions","is_new_opening","last_verified_at","updated_at","elite_category","elite_search_term"
6,zp_3f5eykzt,Brava Garden Eatery,"724 Main St Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 398-8665,,4.2,,$$$,Wine Bars,https://www.yelp.com/biz/brava-garden-eatery-pleasanton-2?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""11:30-21:30"", ""monday"": ""16:30-21:00"", ""sunday"": ""11:30-21:00"", ""tuesday"": ""16:30-21:00"", ""saturday"": ""11:30-21:30"", ""thursday"": ""16:30-21:00"", ""wednesday"": ""16:30-21:00""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,w1YCMzjpD_6IzjGNqjed3g,,,37.66329,-121.87426,"{}",778,0,,https://s3-media0.fl.yelpcdn.com/bphoto/E0wESwv-A_HbexERwvNO-w/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": true, ""upscale"": null, ""delivery"": true, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""Brava is a cute Italian/American/Argentinian restaurant on main street in downtown Pleasanton.  We went with a small group of friends and we got seated..."", ""rating"": 5, ""time_created"": ""2025-06-29 21:40:08""}, {""text"": ""Pretty good option for Argentinian and Italian food. This may seem odd to some people, but there's a huge Italian influence in Argentina. I've spent about 6..."", ""rating"": 4, ""time_created"": ""2025-07-07 11:27:54""}, {""text"": ""Loved this place. We were seated pretty quick we went on a weekday. \nThey have a nice indoor outdoor seating area. \nI got the lomo saltado which was great..."", ""rating"": 4, ""time_created"": ""2025-07-01 15:10:56""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
7,zp_5635usz5,Elia,"310 Main St Ste A Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 399-6921,,4.4,,$,Greek,https://www.yelp.com/biz/elia-pleasanton-3?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""11:00-22:00"", ""monday"": ""11:00-21:30"", ""sunday"": ""10:00-21:30"", ""tuesday"": ""11:00-21:30"", ""saturday"": ""10:00-22:00"", ""thursday"": ""11:00-21:30"", ""wednesday"": ""11:00-21:30""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,mJoWjLL475_ECrCAcIrIqQ,,,37.659060621358734,-121.87620209659416,"{}",678,0,,https://s3-media0.fl.yelpcdn.com/bphoto/UXs2OaIFZKGOw2DFTW2-OQ/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": null, ""upscale"": null, ""delivery"": null, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""The food was great. I'd give it 4/5. The ambience is nice as well. We came here for Mother's day and enjoyed it."", ""rating"": 5, ""time_created"": ""2025-06-14 10:29:50""}, {""text"": ""Came here today with the wife and in-laws. My wife is Greek so she LOVED it here. She said it felt like home. Outside is very nice and wonderful amount of..."", ""rating"": 5, ""time_created"": ""2025-06-08 17:50:06""}, {""text"": ""I had a quick lunch with a coworker here and it was delicious! I was in the mood for Mediterranean and this came highly recommended by a colleague.\n\nWhen we..."", ""rating"": 4, ""time_created"": ""2025-06-28 08:36:13""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
8,zp_39caq26h,Oyo,"680 Main St Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 249-5936,,4.4,,$$,Latin American,https://www.yelp.com/biz/oyo-pleasanton-5?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""11:30-21:30"", ""monday"": ""11:30-20:00"", ""sunday"": ""11:30-20:00"", ""tuesday"": ""11:30-20:00"", ""saturday"": ""11:30-21:30"", ""thursday"": ""11:30-20:30"", ""wednesday"": ""11:30-20:00""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,NRoQJYtVwOZaM3313GzP9g,,,37.66265395859629,-121.87467367394976,"{}",1431,0,,https://s3-media0.fl.yelpcdn.com/bphoto/UuubDcUfsVcDFzOoUwbw3w/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": true, ""upscale"": null, ""delivery"": true, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""Don't leave without trying the Jamaican Patty appetizer. It's a Must! \n\nMy wife and I loved the Jamaican patty! My wife had the lamb in curry sauce with a..."", ""rating"": 5, ""time_created"": ""2025-06-30 19:25:38""}, {""text"": ""I wish I had better things to say about this place as the other Yelpers did, and rarely do I give such a mediocre rating, but this place did not hit as I..."", ""rating"": 2, ""time_created"": ""2025-06-16 08:24:55""}, {""text"": ""My friends and I came to Oyo for dinner with reservations, but unfortunately had to wait nearly 30 minutes past our reserved time. It was clearly a busy..."", ""rating"": 3, ""time_created"": ""2025-06-03 13:35:00""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
9,zp_070bs9e6,Oasis Restaurant ,"780 Main St Ste 101 Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 417-8438,,4.0,,$$,Afghan,https://www.yelp.com/biz/oasis-restaurant-pleasanton?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""11:30-21:00"", ""monday"": ""11:30-21:00"", ""sunday"": ""11:30-21:00"", ""tuesday"": ""11:30-21:00"", ""saturday"": ""11:30-21:00"", ""thursday"": ""11:30-21:00"", ""wednesday"": ""11:30-21:00""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,"1gsJ5wVotJKHQ77IklHaWg",,,37.663659,-121.874125,"{}",1396,0,,https://s3-media0.fl.yelpcdn.com/bphoto/2NVeyY3kbptbQcx6s_Q0SQ/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": null, ""upscale"": null, ""delivery"": true, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""My boyfriend and I love doing downtown stroll dates which includes doing a drink each and a shared appetizer. We had never been to Oasis so we wanted to..."", ""rating"": 5, ""time_created"": ""2025-06-22 18:03:54""}, {""text"": ""Decent Mediterranean food. Had the garlic filet kabobs. They were good. They have a variety of dipping sauces to choose from. Really enjoyed the green sauce..."", ""rating"": 4, ""time_created"": ""2025-02-24 05:17:10""}, {""text"": ""Came here for dinner tonight with a party of 3, since it was a Monday holiday it was not crowded at all and I got a table right away.\nOur order: oasis curry..."", ""rating"": 5, ""time_created"": ""2025-02-17 23:42:22""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
10,zp_decbhhup,Lokanta Grill & Bar,"443 Main St Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 223-8074,,4.2,,$$,Mediterranean,https://www.yelp.com/biz/lokanta-grill-and-bar-pleasanton-2?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""11:00-22:00"", ""monday"": ""11:00-21:30"", ""sunday"": ""10:00-21:00"", ""tuesday"": ""11:00-21:30"", ""saturday"": ""10:00-22:00"", ""thursday"": ""11:00-21:30"", ""wednesday"": ""11:00-21:30""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,phUdcIxWnhz_pa6rXYWBpw,,,37.66019,-121.87641,"{}",1143,0,,https://s3-media0.fl.yelpcdn.com/bphoto/YSjsiLh9N8mkqi7ufZQ3lw/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": true, ""upscale"": null, ""delivery"": true, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""Great food, Service and Ambiance.  I take my Customers and family regularly! \n\nKabab Plates and Cocktails are just great!"", ""rating"": 5, ""time_created"": ""2025-05-22 17:01:09""}, {""text"": ""July 2025\nAppetizers - Baba Ghanoush, Hummus and the Tahini  were top notch\nThe shrimp appetizer was spot on in taste, quantity and presentation\nThe chicken..."", ""rating"": 4, ""time_created"": ""2025-07-09 16:49:29""}, {""text"": ""Met down here on a Monday night. Sat outside because the weather was perfect. \n\nStarted either the cauliflower and table bread. Would order again! \n\nWe had..."", ""rating"": 5, ""time_created"": ""2025-05-06 09:53:09""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
11,zp_19b4oxc7,Rubys & Roses Restaurant,"855 Main St Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 264-5600,,4.0,,$$$,Cocktail Bars,https://www.yelp.com/biz/rubys-and-roses-restaurant-pleasanton?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""11:30-22:00"", ""sunday"": ""11:30-21:00"", ""tuesday"": ""11:30-21:00"", ""saturday"": ""11:30-22:00"", ""thursday"": ""11:30-21:00"", ""wednesday"": ""11:30-21:00""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,"8jAT4EwxPPL0vmDqUogYLg",,,37.66458,-121.87444,"{}",560,0,,https://s3-media0.fl.yelpcdn.com/bphoto/bv-HcnSINAWXnYeOfF_evg/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": null, ""upscale"": null, ""delivery"": null, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""Came in on a Sunday in the early afternoon. I was greeted and seated right away. \n\nThe menu is more on the expensive side but what else would you expect in..."", ""rating"": 5, ""time_created"": ""2025-06-26 14:46:13""}, {""text"": ""Such a cute place!!! If you need some social media photo ops look no further!!! \n\nI came here with the bestie on a Friday night. Our server Jordan was..."", ""rating"": 4, ""time_created"": ""2025-06-27 21:50:32""}, {""text"": ""We had reservations for my mom's birthday on a Tuesday night at 6:30pm. No dedicated parking lot, but street parking was easy enough. There are two big..."", ""rating"": 3, ""time_created"": ""2025-06-13 12:48:09""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
12,zp_5dd8dqyr,Sabio on Main,"501 Main St Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 800-3090,,3.8,,$$$,New American,https://www.yelp.com/biz/sabio-on-main-pleasanton?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""16:00-21:00"", ""monday"": ""16:00-21:00"", ""sunday"": ""17:00-21:00"", ""tuesday"": ""16:00-21:00"", ""saturday"": ""17:00-21:00"", ""thursday"": ""16:00-21:00"", ""wednesday"": ""16:00-21:00""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,S2B-7TtGdMFLh8z8TSdvqg,,,37.6606642725496,-121.876122490213,"{}",738,0,,https://s3-media0.fl.yelpcdn.com/bphoto/UqP-W2NtTdP71P4QRqeqqQ/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": true, ""upscale"": null, ""delivery"": true, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""We stopped in recently for an early dinner before heading home. The restaurant gives bistro vibes - not too formal but certainly not fast casual based on..."", ""rating"": 4, ""time_created"": ""2025-05-30 12:55:34""}, {""text"": ""Took my gf here on a date on Friday (5/23) \n\nAppetizers:\nPork belly (7/10)\nWhipped ricotta toast (10/10)\n\nEntrees:\nSteak wagyu (8/10)\nSpinach ravioli..."", ""rating"": 3, ""time_created"": ""2025-05-24 10:18:17""}, {""text"": ""Well decorated restaurant with incredible wine collection throughout. Beautiful bar area. Nice outdoor patio with heat lamps overhead. Wonderful service...."", ""rating"": 5, ""time_created"": ""2025-02-08 21:05:06""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
13,zp_b214p0eg,Time Thai Kitchen ,"929 Main St Ste C Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 425-7029,,4.4,,$$,Thai,https://www.yelp.com/biz/time-thai-kitchen-pleasanton-11?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""17:00-21:00"", ""sunday"": ""17:00-20:00"", ""tuesday"": ""17:00-21:00"", ""saturday"": ""17:00-21:00"", ""thursday"": ""17:00-21:00"", ""wednesday"": ""17:00-21:00""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,sD0VW-o0VnwOYUU0QZ0oIw,,,37.66622,-121.87388,"{}",414,0,,https://s3-media0.fl.yelpcdn.com/bphoto/2M0_dXPJudpP5_yMoxNpsQ/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": true, ""upscale"": null, ""delivery"": true, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""DELICIOUS!! Wow. The food here is so tasty and cooked to perfection. I am a bit angry that we didn't dine here much sooner after living down the street for..."", ""rating"": 5, ""time_created"": ""2025-05-24 00:15:50""}, {""text"": ""Overall? Pretty good, not life changing, but solid. Fast service, decent quality curry, and a chill, no fuss vibe. It's a small spot tucked into a corner...."", ""rating"": 4, ""time_created"": ""2025-07-08 21:20:57""}, {""text"": ""I've been wanting to try the dinner at the Pleasanton location after going to Time Thai Kitchen in Livermore for brunch. \n\nWe got seated after a short wait..."", ""rating"": 4, ""time_created"": ""2025-06-22 13:05:59""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
14,zp_3408gp0w,Gilman Brewing  - Pleasanton,"706 Main St Pleasanton, CA 94566",Pleasanton,CA,"94566",(530) 709-0325,,3.9,,$,Brewpubs,https://www.yelp.com/biz/gilman-brewing-pleasanton-pleasanton-2?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""16:00-21:00"", ""sunday"": ""16:00-21:00"", ""saturday"": ""16:00-21:00"", ""thursday"": ""16:00-21:00"", ""wednesday"": ""16:00-21:00""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,hL2Tz2FHzoUwdR47nnpI9Q,,,37.662987,-121.874459,"{}",30,0,,https://s3-media0.fl.yelpcdn.com/bphoto/MbZ5YitDEO-kl9Lr3Napqw/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": null, ""upscale"": null, ""delivery"": null, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""Gilman Brewing is located right in Main Street in Pleasanton. I stopped in here before dinner for a quick drink. The bartender made our drinks quickly and..."", ""rating"": 5, ""time_created"": ""2025-06-18 08:25:54""}, {""text"": ""We have been here once before just when they were serving beer but came back because we heard they now serve some cocktails and food. To be completely..."", ""rating"": 1, ""time_created"": ""2025-01-11 19:26:34""}, {""text"": ""Great spot to grab a drink and personal pizza with a buddy. The place is small inside with a long table to share seating, or you can hang out outside on..."", ""rating"": 4, ""time_created"": ""2024-12-04 07:07:30""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
15,zp_2effaw0m,Beer Baron Bar & Kitchen,"336 Saint Mary St Pleasanton, CA 94566",Pleasanton,CA,"94566",(925) 223-8577,,3.9,,$$,Beer Bar,https://www.yelp.com/biz/beer-baron-bar-and-kitchen-pleasanton-3?adjust_creative=_tDkdbAS1dkVqsBx1KrZKw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=_tDkdbAS1dkVqsBx1KrZKw,"{""friday"": ""11:30-01:00"", ""monday"": ""11:30-23:00"", ""sunday"": ""11:00-22:00"", ""tuesday"": ""11:30-23:00"", ""saturday"": ""11:00-01:00"", ""thursday"": ""11:30-23:00"", ""wednesday"": ""11:30-23:00""}",0.9,2025-07-10 19:35:15.541 -0700,2025-07-10 19:35:15.541 -0700,-wMaoDPIcNGDfZfxyrCV8A,,,37.6625,-121.87571,"{}",884,0,,https://s3-media0.fl.yelpcdn.com/bphoto/gQxWn9q1My5EodSTmsU6yA/o.jpg,,"{""dj"": null, ""wifi"": null, ""divey"": null, ""lunch"": null, ""brunch"": null, ""casual"": null, ""classy"": null, ""dinner"": null, ""has_tv"": null, ""trendy"": null, ""alcohol"": null, ""dessert"": null, ""hipster"": null, ""parking"": null, ""smoking"": null, ""takeout"": null, ""upscale"": null, ""delivery"": true, ""full_bar"": false, ""intimate"": null, ""romantic"": null, ""touristy"": null, ""beer_wine"": false, ""breakfast"": null, ""coat_check"": null, ""happy_hour"": null, ""late_night"": null, ""live_music"": null, ""noise_level"": null, ""dogs_allowed"": null, ""reservations"": null, ""good_for_kids"": null, ""good_for_groups"": null, ""outdoor_seating"": null, ""good_for_dancing"": null, ""wheelchair_accessible"": null}","[{""text"": ""Nice pub with a good selection of craft beers. Their cheese curds were on the heavier side but their nachos are pretty good.\n\nService was nice and..."", ""rating"": 4, ""time_created"": ""2025-06-07 00:30:12""}, {""text"": ""Beware if you're planning a private event here! I booked this space for a wedding after-party and had confirmed everything multiple times with their event..."", ""rating"": 1, ""time_created"": ""2025-07-01 18:13:13""}, {""text"": ""Came here right after visiting the county fair. I appreciate they were able to sit our party of 6 adults and 7 kids. Our server was very patient,..."", ""rating"": 3, ""time_created"": ""2025-06-22 08:11:16""}]",true,0.0,{},,,false,0.00,"",{},0,false,,2025-07-10 19:35:15.541 -0700,,
