[2025-06-26 20:55:13] [PERFORMANCE] Performance: plugin_activation (0ms) | action: plugin_activation | duration_ms: 0 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-admin/wp-admin/plugins.php?action=activate&plugin=zippicks-core%2Fzippicks-core.php&plugin_status=all&paged=1&s&_wpnonce=858db857af
[2025-06-26 20:55:15] [PERFORMANCE] Performance: page_load (24.861812591553ms) | action: page_load | duration_ms: 24.861812591553 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/favicon.ico
[2025-06-26 20:57:14] [PERFORMANCE] Performance: page_load (29.474020004272ms) | action: page_load | duration_ms: 29.474020004272 | user_id: 0 | ip: 176.58.122.186 | url: https://zippicks.com/
[2025-06-26 20:57:19] [PERFORMANCE] Performance: page_load (20.874977111816ms) | action: page_load | duration_ms: 20.874977111816 | user_id: 0 | ip: 51.38.230.115 | url: https://zippicks.com/wp-login.php
[2025-06-26 20:58:01] [PERFORMANCE] Performance: page_load (26.222944259644ms) | action: page_load | duration_ms: 26.222944259644 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 20:59:08] [PERFORMANCE] Performance: page_load (25.476932525635ms) | action: page_load | duration_ms: 25.476932525635 | user_id: 0 | ip: 45.33.39.50 | url: https://zippicks.com/.well-known/pressidium-challenge/qszVXw72R3rnvSyKjqb5Fn
[2025-06-26 21:18:03] [PERFORMANCE] Performance: page_load (26.841878890991ms) | action: page_load | duration_ms: 26.841878890991 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 21:23:02] [PERFORMANCE] Performance: page_load (27.092933654785ms) | action: page_load | duration_ms: 27.092933654785 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 21:33:31] [PERFORMANCE] Performance: plugin_activation (0ms) | action: plugin_activation | duration_ms: 0 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-admin/wp-admin/plugins.php?action=activate&plugin=zippicks-core%2Fzippicks-core.php&plugin_status=all&paged=1&s&_wpnonce=858db857af
[2025-06-26 21:35:53] [PERFORMANCE] Performance: page_load (74.130058288574ms) | action: page_load | duration_ms: 74.130058288574 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/top10/top-italian-in-pleasanton/
[2025-06-26 21:37:09] [PERFORMANCE] Performance: page_load (52.239894866943ms) | action: page_load | duration_ms: 52.239894866943 | user_id: 0 | ip: 66.249.79.35 | url: https://zippicks.com/login/
[2025-06-26 21:37:10] [PERFORMANCE] Performance: page_load (43.825149536133ms) | action: page_load | duration_ms: 43.825149536133 | user_id: 0 | ip: 66.249.79.34 | url: https://zippicks.com/wp-login.php
[2025-06-26 21:37:43] [PERFORMANCE] Performance: page_load (46.389818191528ms) | action: page_load | duration_ms: 46.389818191528 | user_id: 0 | ip: 198.98.58.46 | url: https://zippicks.com/wp-login.php
[2025-06-26 21:38:03] [PERFORMANCE] Performance: page_load (98.309993743896ms) | action: page_load | duration_ms: 98.309993743896 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 21:38:11] [PERFORMANCE] Performance: page_load (113.3029460907ms) | action: page_load | duration_ms: 113.3029460907 | user_id: 0 | ip: 198.98.58.46 | url: https://zippicks.com/wp-login.php
[2025-06-26 21:43:02] [PERFORMANCE] Performance: page_load (101.1688709259ms) | action: page_load | duration_ms: 101.1688709259 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 21:43:13] [PERFORMANCE] Performance: page_load (64.419984817505ms) | action: page_load | duration_ms: 64.419984817505 | user_id: 0 | ip: 174.242.34.218 | url: https://zippicks.com/
[2025-06-26 21:48:02] [PERFORMANCE] Performance: page_load (77.78000831604ms) | action: page_load | duration_ms: 77.78000831604 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 21:48:35] [PERFORMANCE] Performance: page_load (552.37317085266ms) | action: page_load | duration_ms: 552.37317085266 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/get-directory-structure
[2025-06-26 21:48:42] [PERFORMANCE] Performance: page_load (6447.8437900543ms) | action: page_load | duration_ms: 6447.8437900543 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/search
[2025-06-26 21:48:42] [PERFORMANCE] Performance: page_load (46.169996261597ms) | action: page_load | duration_ms: 46.169996261597 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/clean
[2025-06-26 21:49:34] [PERFORMANCE] Performance: page_load (89.820146560669ms) | action: page_load | duration_ms: 89.820146560669 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/get-directory-structure
[2025-06-26 21:49:35] [PERFORMANCE] Performance: page_load (536.24701499939ms) | action: page_load | duration_ms: 536.24701499939 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/search
[2025-06-26 21:49:35] [PERFORMANCE] Performance: page_load (54.257154464722ms) | action: page_load | duration_ms: 54.257154464722 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/clean
[2025-06-26 21:49:50] [PERFORMANCE] Performance: page_load (101.05013847351ms) | action: page_load | duration_ms: 101.05013847351 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/get-directory-structure
[2025-06-26 21:49:51] [PERFORMANCE] Performance: page_load (550.67110061646ms) | action: page_load | duration_ms: 550.67110061646 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/search
[2025-06-26 21:49:51] [PERFORMANCE] Performance: page_load (50.420045852661ms) | action: page_load | duration_ms: 50.420045852661 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/clean
[2025-06-26 21:50:07] [PERFORMANCE] Performance: page_load (109.95483398438ms) | action: page_load | duration_ms: 109.95483398438 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/get-directory-structure
[2025-06-26 21:50:08] [PERFORMANCE] Performance: page_load (536.465883255ms) | action: page_load | duration_ms: 536.465883255 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/search
[2025-06-26 21:50:08] [PERFORMANCE] Performance: page_load (46.04697227478ms) | action: page_load | duration_ms: 46.04697227478 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/clean
[2025-06-26 21:50:24] [PERFORMANCE] Performance: page_load (110.62598228455ms) | action: page_load | duration_ms: 110.62598228455 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/get-directory-structure
[2025-06-26 21:50:25] [PERFORMANCE] Performance: page_load (667.24801063538ms) | action: page_load | duration_ms: 667.24801063538 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/search
[2025-06-26 21:50:25] [PERFORMANCE] Performance: page_load (49.630880355835ms) | action: page_load | duration_ms: 49.630880355835 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/clean
[2025-06-26 21:50:30] [PERFORMANCE] Performance: page_load (74.892997741699ms) | action: page_load | duration_ms: 74.892997741699 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/wordpress
