[2025-06-29 00:00:55] [PERFORMANCE] Performance: page_load (199.3100643158ms) | action: page_load | duration_ms: 199.3100643158 | user_id: 0 | ip: 43.130.106.18 | url: https://zippicks.com/
[2025-06-29 00:03:17] [PERFORMANCE] Performance: page_load (151.13711357117ms) | action: page_load | duration_ms: 151.13711357117 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:08:18] [PERFORMANCE] Performance: page_load (383.88299942017ms) | action: page_load | duration_ms: 383.88299942017 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:13:18] [PERFORMANCE] Performance: page_load (165.21120071411ms) | action: page_load | duration_ms: 165.21120071411 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:15:50] [PERFORMANCE] Performance: page_load (155.20596504211ms) | action: page_load | duration_ms: 155.20596504211 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-06-29 00:17:42] [PERFORMANCE] Performance: page_load (366.65296554565ms) | action: page_load | duration_ms: 366.65296554565 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon.png
[2025-06-29 00:17:42] [PERFORMANCE] Performance: page_load (370.64504623413ms) | action: page_load | duration_ms: 370.64504623413 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon-precomposed.png
[2025-06-29 00:17:42] [PERFORMANCE] Performance: page_load (369.42887306213ms) | action: page_load | duration_ms: 369.42887306213 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/favicon.ico
[2025-06-29 00:17:42] [PERFORMANCE] Performance: page_load (123.58593940735ms) | action: page_load | duration_ms: 123.58593940735 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2Fadmin.php%3Fpage%3Dzippicks-error-log%26cleared%3D1&reauth=1
[2025-06-29 00:17:50] [PERFORMANCE] Performance: page_load (124.84622001648ms) | action: page_load | duration_ms: 124.84622001648 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon-precomposed.png
[2025-06-29 00:17:50] [PERFORMANCE] Performance: page_load (124.60708618164ms) | action: page_load | duration_ms: 124.60708618164 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/favicon.ico
[2025-06-29 00:17:50] [PERFORMANCE] Performance: page_load (136.60597801208ms) | action: page_load | duration_ms: 136.60597801208 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon.png
[2025-06-29 00:17:50] [PERFORMANCE] Performance: page_load (120.78213691711ms) | action: page_load | duration_ms: 120.78213691711 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2Fadmin.php%3Fpage%3Dzippicks-error-log%26cleared%3D1&reauth=1
[2025-06-29 00:17:55] [PERFORMANCE] Performance: page_load (147.11093902588ms) | action: page_load | duration_ms: 147.11093902588 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-06-29 00:17:58] [PERFORMANCE] Performance: page_load (196.56205177307ms) | action: page_load | duration_ms: 196.56205177307 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-06-29 00:17:59] [PERFORMANCE] Performance: page_load (116.00399017334ms) | action: page_load | duration_ms: 116.00399017334 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/favicon.ico
[2025-06-29 00:17:59] [PERFORMANCE] Performance: page_load (83.890914916992ms) | action: page_load | duration_ms: 83.890914916992 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon-precomposed.png
[2025-06-29 00:17:59] [PERFORMANCE] Performance: page_load (111.68098449707ms) | action: page_load | duration_ms: 111.68098449707 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon.png
[2025-06-29 00:18:17] [PERFORMANCE] Performance: page_load (188.82393836975ms) | action: page_load | duration_ms: 188.82393836975 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:23:17] [PERFORMANCE] Performance: page_load (148.83208274841ms) | action: page_load | duration_ms: 148.83208274841 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:28:17] [PERFORMANCE] Performance: page_load (189.99195098877ms) | action: page_load | duration_ms: 189.99195098877 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:33:17] [PERFORMANCE] Performance: page_load (158.01191329956ms) | action: page_load | duration_ms: 158.01191329956 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:35:24] [PERFORMANCE] Performance: page_load (136.50798797607ms) | action: page_load | duration_ms: 136.50798797607 | user_id: 0 | ip: 54.88.84.219 | url: https://zippicks.com/hello-world/
[2025-06-29 00:38:18] [PERFORMANCE] Performance: page_load (141.22200012207ms) | action: page_load | duration_ms: 141.22200012207 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:43:17] [PERFORMANCE] Performance: page_load (188.26389312744ms) | action: page_load | duration_ms: 188.26389312744 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:48:17] [PERFORMANCE] Performance: page_load (156.05711936951ms) | action: page_load | duration_ms: 156.05711936951 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:53:17] [PERFORMANCE] Performance: page_load (152.90188789368ms) | action: page_load | duration_ms: 152.90188789368 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-29 00:58:18] [PERFORMANCE] Performance: page_load (160.98284721375ms) | action: page_load | duration_ms: 160.98284721375 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
