[2025-07-04 00:00:52] [PERFORMANCE] Performance: page_load (253.24296951294ms) | action: page_load | duration_ms: 253.24296951294 | user_id: 0 | ip: 65.60.5.206 | url: https://zippicks.com/xmlrpc.php
[2025-07-04 00:03:17] [PERFORMANCE] Performance: page_load (185.19902229309ms) | action: page_load | duration_ms: 185.19902229309 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:08:18] [PERFORMANCE] Performance: page_load (213.72699737549ms) | action: page_load | duration_ms: 213.72699737549 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:08:47] [PERFORMANCE] Performance: page_load (217.2520160675ms) | action: page_load | duration_ms: 217.2520160675 | user_id: 0 | ip: 8.133.253.244 | url: https://zippicks.com/xmlrpc.php
[2025-07-04 00:08:53] [PERFORMANCE] Performance: page_load (154.69193458557ms) | action: page_load | duration_ms: 154.69193458557 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:08:53] [PERFORMANCE] Performance: page_load (160.67004203796ms) | action: page_load | duration_ms: 160.67004203796 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751587733762_0yk6wtjym
[2025-07-04 00:09:10] [PERFORMANCE] Performance: page_load (169.75998878479ms) | action: page_load | duration_ms: 169.75998878479 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:09:10] [PERFORMANCE] Performance: page_load (161.54813766479ms) | action: page_load | duration_ms: 161.54813766479 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751587750628_2eun2u154
[2025-07-04 00:09:20] [PERFORMANCE] Performance: page_load (163.83099555969ms) | action: page_load | duration_ms: 163.83099555969 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:09:20] [PERFORMANCE] Performance: page_load (170.72296142578ms) | action: page_load | duration_ms: 170.72296142578 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-07-04 00:09:22] [PERFORMANCE] Performance: page_load (147.69816398621ms) | action: page_load | duration_ms: 147.69816398621 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/vibes
